#,Time,fIdx,sIdx,sLen,fImg,cObj,cNam,cCon,tcBr,tcCo,tcUs,tcDs
48,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
49,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
50,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
51,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
52,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
53,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
54,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
55,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
56,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
57,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
58,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
59,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
60,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,40,1,-1,-1
61,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,50,1,-1,-1
62,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,60,1,-1,-1
63,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
64,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
65,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,90,1,-1,-1
66,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,100,1,-1,-1
67,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
68,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
69,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
70,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
71,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,40,1,-1,-1
72,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
73,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
74,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
75,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
76,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,90,1,-1,-1
77,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,100,1,-1,-1
78,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
79,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
80,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
81,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
82,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
83,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
84,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
85,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
86,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
87,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
88,,..\..\data\highreflection/frame000068.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,100,1,-1,-1
89,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1,-1,-1
90,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,10,1,-1,-1
91,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
92,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
93,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
94,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
95,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
96,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
97,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
98,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,90,1,-1,-1
99,,..\..\data\highreflection/frame000069.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
100,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
101,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
102,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
103,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
104,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
105,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
106,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
107,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
108,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
109,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
110,,..\..\data\highreflection/frame000070.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
111,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1,-1,-1
112,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,10,1,-1,-1
113,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,20,1,-1,-1
114,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,30,1,-1,-1
115,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,40,1,-1,-1
116,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,50,1,-1,-1
117,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,60,1,-1,-1
118,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,70,1,-1,-1
119,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,80,1,-1,-1
120,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,90,1,-1,-1
121,,..\..\data\highreflection/frame000071.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,100,1,-1,-1
122,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
123,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
124,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
125,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
126,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
127,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
128,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
129,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
130,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
131,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,90,1,-1,-1
132,,..\..\data\highreflection/frame000081.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
133,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
134,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
135,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
136,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
137,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
138,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
139,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
140,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,70,1,-1,-1
141,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
142,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
143,,..\..\data\highreflection/frame000082.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,100,1,-1,-1
144,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
145,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
146,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,20,1,-1,-1
147,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,30,1,-1,-1
148,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,40,1,-1,-1
149,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,50,1,-1,-1
150,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,60,1,-1,-1
151,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,70,1,-1,-1
152,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,80,1,-1,-1
153,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,90,1,-1,-1
154,,..\..\data\highreflection/frame000083.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,100,1,-1,-1
155,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,0,1,-1,-1
156,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,10,1,-1,-1
157,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
158,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
159,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
160,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
161,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
162,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
163,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
164,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
165,,..\..\data\highreflection/frame000084.jpg,0,1,image0.jpg,1,Right_Indicator,0.79,100,1,-1,-1
166,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
167,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
168,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
169,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
170,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
171,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,50,1,-1,-1
172,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,60,1,-1,-1
173,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,70,1,-1,-1
174,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,80,1,-1,-1
175,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,90,1,-1,-1
176,,..\..\data\highreflection/frame000085.jpg,0,1,image0.jpg,1,Right_Indicator,0.78,100,1,-1,-1
177,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,0,1,-1,-1
178,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,10,1,-1,-1
179,,..\..\data\highreflection/frame000086.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,20,1,-1,-1
